
Displacement Delta Z
 ==================== 
Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0.500458,µm,Spot,Displacement Delta,95,1000125942,125942,
-0.337799,µm,Spot,Displacement Delta,96,1000125942,125943,
-0.521896,µm,Spot,Displacement Delta,93,1000125942,125944,
0.359238,µm,Spot,Displacement Delta,94,1000125942,125945,
0,µm,Spot,Displacement Delta,117,1000125946,125946,
-1.68837,µm,Spot,Displacement Delta,118,1000125946,125947,
-0.0915833,µm,Spot,Displacement Delta,119,1000125946,125948,
0,µm,Spot,Displacement Delta,134,1000125949,125949,
0.0715332,µm,Spot,Displacement Delta,135,1000125949,125950,
-0.688614,µm,Spot,Displacement Delta,136,1000125949,125951,
0.61879,µm,Spot,Displacement Delta,137,1000125949,125952,
0,µm,Spot,Displacement Delta,177,1000125953,125953,
0.207695,µm,Spot,Displacement Delta,178,1000125953,125954,
0.919456,µm,Spot,Displacement Delta,179,1000125953,125955,
-1.94949,µm,Spot,Displacement Delta,180,1000125953,125956,
0,µm,Spot,Displacement Delta,106,1000125957,125957,
-0.0433044,µm,Spot,Displacement Delta,107,1000125957,125958,
-0.295319,µm,Spot,Displacement Delta,108,1000125957,125959,
-0.315536,µm,Spot,Displacement Delta,109,1000125957,125960,
