
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
1.09369,,Spot,95,1000125942,125942,
0.429323,,Spot,96,1000125942,125943,
0.557653,,Spot,93,1000125942,125944,
0.683791,,Spot,94,1000125942,125945,
0,,Spot,117,1000125946,125946,
1.72887,,Spot,118,1000125946,125947,
0.612484,,Spot,119,1000125946,125948,
0,,Spot,134,1000125949,125949,
0.206468,,Spot,135,1000125949,125950,
1.36704,,Spot,136,1000125949,125951,
1.08875,,Spot,137,1000125949,125952,
0,,Spot,177,1000125953,125953,
0.71604,,Spot,178,1000125953,125954,
1.12725,,Spot,179,1000125953,125955,
2.27765,,Spot,180,1000125953,125956,
0,,Spot,106,1000125957,125957,
0.573229,,Spot,107,1000125957,125958,
0.596819,,Spot,108,1000125957,125959,
0.660261,,Spot,109,1000125957,125960,
